b21,b26,b38,b48,b77,Turbidity
0.205072,0.20594,0.253379,0.24346,0.257124,18.26
0.206715,0.208163,0.255526,0.245868,0.260083,18.02
0.206133,0.210315,0.257027,0.247172,0.260888,17.91
0.208656,0.211743,0.259574,0.252001,0.266204,17.63
0.207652,0.210644,0.257997,0.250377,0.264349,17.03
0.20913,0.212261,0.260317,0.252767,0.267079,18
0.209984,0.213174,0.261886,0.25401,0.268739,17.43
0.208754,0.211611,0.260459,0.252498,0.265802,16.93
0.209744,0.212694,0.262013,0.254099,0.267631,16.88
0.208598,0.212554,0.26213,0.254813,0.268785,17.02
0.211173,0.212535,0.262674,0.255219,0.269933,18.02
0.207579,0.210926,0.260672,0.253171,0.266616,18.06
0.207877,0.211253,0.26114,0.253654,0.267167,16.84
0.209274,0.212781,0.263335,0.255913,0.269748,19.73
0.207873,0.211938,0.263061,0.253122,0.267988,18.05
0.207571,0.211486,0.261393,0.25283,0.267219,16.8
0.203411,0.205878,0.25169,0.244252,0.254258,18.38
0.205305,0.207951,0.254666,0.247316,0.257757,18.79
0.204069,0.206598,0.252724,0.245317,0.255474,18.45
0.205009,0.207871,0.254687,0.244076,0.25941,18.25
0.204188,0.206062,0.250163,0.241968,0.253439,18.06
0.208851,0.208932,0.257967,0.247271,0.264012,16.96
0.206289,0.210486,0.257272,0.247424,0.261177,19.03
0.206225,0.209231,0.255257,0.246149,0.260986,21.49
0.207949,0.210614,0.258479,0.250015,0.264632,17.9
0.207733,0.210732,0.258123,0.250507,0.264498,17.55
0.208866,0.211951,0.26013,0.252202,0.266674,16.63
0.209231,0.21235,0.260703,0.252792,0.267348,16.31
0.208904,0.211992,0.26019,0.252263,0.266744,17.62
0.209777,0.212731,0.262065,0.254153,0.267692,17.14
0.208129,0.210927,0.259477,0.251487,0.264648,17.39
0.208858,0.211357,0.26077,0.251985,0.265083,17.23
0.206519,0.210968,0.257608,0.250032,0.262727,16.86
0.20915,0.212045,0.262771,0.253736,0.269252,17.12
0.20951,0.212438,0.263336,0.254319,0.269916,17.86
0.209459,0.212228,0.265083,0.256059,0.270937,17.46
0.210331,0.213182,0.266452,0.257468,0.272546,18.19
0.213058,0.214598,0.265635,0.258268,0.273415,13.64
0.204924,0.207619,0.254003,0.243869,0.257289,22.97
0.205649,0.208412,0.255141,0.245041,0.258627,19
0.205299,0.208028,0.254591,0.244474,0.25798,18.74
0.205361,0.209326,0.256145,0.248143,0.25929,18.47
0.204835,0.20875,0.255319,0.247293,0.258319,26.86
0.201776,0.205403,0.250514,0.242345,0.252668,18.72
0.205437,0.208954,0.257299,0.248026,0.263366,18.16
0.203643,0.20699,0.25448,0.245123,0.26005,18.88
0.205027,0.20918,0.256387,0.248513,0.263923,18.46
0.204341,0.208429,0.255308,0.247403,0.262655,17.45
0.205623,0.208886,0.255489,0.245833,0.260269,18.24
0.20323,0.203924,0.250486,0.24048,0.253721,18.35
0.206711,0.206589,0.254605,0.243809,0.260057,18.48
0.206167,0.210015,0.257132,0.247759,0.262684,18.76
0.209109,0.212269,0.260201,0.252568,0.266633,24.26
0.207727,0.21056,0.259711,0.250708,0.264475,16
0.207751,0.210586,0.259748,0.250746,0.264519,18.22
0.207798,0.211431,0.261065,0.252442,0.268931,16.84
0.205308,0.208705,0.257153,0.248413,0.264329,18.13
0.207685,0.211306,0.260887,0.252258,0.268721,18.34
0.2074,0.210995,0.26044,0.251799,0.268196,15.95
0.208062,0.212263,0.260526,0.252841,0.268477,14.52
0.209457,0.212289,0.259715,0.252119,0.265038,16.13
0.20776,0.211637,0.260813,0.253457,0.267237,17.5
0.208241,0.21105,0.261343,0.252266,0.267572,17.54
0.20748,0.210525,0.260009,0.250786,0.267698,18.21
0.206558,0.211595,0.26373,0.253822,0.268506,16.92
0.204836,0.208296,0.256354,0.247053,0.262255,18.78
0.205576,0.208835,0.255415,0.245756,0.260182,18.65
0.204098,0.207497,0.254955,0.243877,0.257989,18.15
0.205546,0.209673,0.256104,0.246222,0.259803,18.22
0.208134,0.211202,0.258669,0.25099,0.264831,19.8
0.208243,0.211125,0.260522,0.251543,0.265428,17.67
0.208802,0.211736,0.2614,0.252447,0.266461,17.93
0.208486,0.211227,0.25819,0.250549,0.263244,15.68
0.210362,0.213279,0.261135,0.253582,0.266709,18.26
0.209634,0.212525,0.261392,0.252561,0.267869,16.66
0.208759,0.21273,0.262383,0.255073,0.269083,18.59
0.210439,0.212315,0.263261,0.255285,0.270052,16.99
0.208366,0.211494,0.2614,0.252218,0.269334,17.41
0.20679,0.211849,0.264095,0.254197,0.268935,15.52
0.209144,0.214425,0.267792,0.258004,0.273283,17.91
0.205768,0.209337,0.255171,0.245975,0.259921,18.83
0.204059,0.207466,0.252486,0.24321,0.256763,18.34
0.205541,0.206453,0.254116,0.244218,0.25799,23.91
0.204196,0.206413,0.25284,0.242209,0.257852,17.46
0.205546,0.20789,0.25496,0.244392,0.260345,17.99
0.206952,0.209429,0.257169,0.246667,0.262943,17.84
0.206654,0.210387,0.257466,0.248028,0.261704,17.92
0.204987,0.208563,0.254847,0.245332,0.258624,17.9
0.204603,0.208144,0.254245,0.244711,0.257915,18.09
0.206604,0.208819,0.255087,0.246115,0.26085,17.78
0.204895,0.207436,0.253664,0.244036,0.259729,16.2
0.205242,0.206875,0.253069,0.245016,0.258754,18.4
0.205272,0.207633,0.25471,0.244897,0.259712,17.83
0.208555,0.211663,0.259331,0.251672,0.265609,17.71
0.208673,0.211473,0.259882,0.251006,0.266093,19.07
0.209209,0.213223,0.26309,0.255801,0.269914,17.03
0.208518,0.211957,0.261307,0.254363,0.267883,17.88
0.205536,0.210476,0.262124,0.252168,0.266616,16.84
0.206388,0.210016,0.256146,0.246979,0.261067,19.19
0.206085,0.208272,0.253554,0.244621,0.259286,18.19
0.205039,0.208893,0.25359,0.245069,0.258817,17.64
0.208405,0.209829,0.257135,0.247858,0.260169,18.53
0.20484,0.206925,0.253524,0.244291,0.258676,17.9
0.20185,0.203378,0.247559,0.237527,0.249095,18.05
0.206156,0.208558,0.255919,0.24538,0.261474,18.09
0.20861,0.211287,0.259954,0.250298,0.26588,24.36
0.206446,0.208919,0.256554,0.246797,0.261882,18.24
0.207982,0.212494,0.261038,0.252844,0.268458,17.97
0.206183,0.210525,0.258211,0.249933,0.265134,18.12
0.206328,0.209548,0.256345,0.248008,0.262005,18.13
0.206803,0.208977,0.256858,0.247612,0.262552,18.36
0.205297,0.207329,0.254493,0.245176,0.25977,18.37
0.205894,0.207982,0.25543,0.246141,0.260872,17.69
0.206367,0.2085,0.256174,0.246907,0.261747,17.95
0.205562,0.209134,0.256685,0.248726,0.262977,17.97
0.206333,0.210209,0.256769,0.249689,0.263422,17.76
0.207186,0.211142,0.258108,0.251068,0.264997,17.83
0.208606,0.212697,0.260339,0.253366,0.267621,19.97
0.207826,0.212399,0.259661,0.252146,0.265142,17.22
0.210098,0.211942,0.262726,0.254733,0.269422,16.02
0.20687,0.210154,0.258719,0.251697,0.264839,18.91
0.208077,0.211475,0.260616,0.25365,0.26707,14.51
0.205702,0.207598,0.254369,0.24489,0.259174,18.78
0.204428,0.206204,0.252369,0.24283,0.256821,18.69
0.207173,0.210659,0.259544,0.248365,0.263817,18.58
0.207712,0.211125,0.257633,0.249242,0.263401,17.72
0.203412,0.206419,0.250879,0.242287,0.255457,17.8
0.205136,0.208305,0.253587,0.245075,0.258642,18.21
0.204911,0.206987,0.25171,0.242721,0.257116,19.76
0.206074,0.207783,0.254244,0.243628,0.257752,19.36
0.203544,0.205716,0.251498,0.241631,0.258155,16.75
0.204023,0.206239,0.252249,0.242405,0.259038,18.24
0.204893,0.208733,0.253359,0.244832,0.258546,18.54
0.205882,0.209816,0.254914,0.246433,0.260374,18.01
0.206638,0.208416,0.254596,0.24245,0.257755,18.11
0.207074,0.208892,0.25528,0.243155,0.25856,18.07
0.204273,0.207606,0.253862,0.243797,0.258018,18.51
0.205694,0.20916,0.256094,0.246095,0.260642,18.38
0.206963,0.210549,0.258087,0.248148,0.262987,18.49
0.206989,0.20828,0.254911,0.245567,0.257553,17.53
0.208168,0.20957,0.256763,0.247475,0.259732,17.91
0.206567,0.210346,0.258712,0.248954,0.263589,17.46
0.206945,0.210339,0.257157,0.248251,0.266106,18.21
0.2056,0.208867,0.255045,0.246075,0.263621,18.19
0.20831,0.211232,0.257795,0.248088,0.263938,17.87
0.206047,0.208755,0.25424,0.244427,0.259756,17.81
0.205403,0.20805,0.253228,0.243385,0.258566,18.23
0.20663,0.208884,0.256335,0.247186,0.261983,17.93
0.205134,0.207246,0.253985,0.244765,0.259218,18.17
0.202304,0.203876,0.248273,0.238263,0.249934,17.8
0.206008,0.208166,0.25415,0.24515,0.259748,18.54
0.206167,0.210015,0.257132,0.247759,0.262684,17.73
0.204065,0.207572,0.252733,0.244603,0.258369,18.64
0.207826,0.212399,0.259661,0.252146,0.265142,18.19
0.20496,0.207692,0.254524,0.245396,0.259417,18.9
0.205296,0.20806,0.255052,0.24594,0.260038,19
0.203132,0.205692,0.251652,0.242439,0.25604,18.78
0.206173,0.206837,0.251225,0.244075,0.258184,16.49
0.206324,0.207003,0.251463,0.24432,0.258464,18.34
0.207167,0.207926,0.252787,0.245683,0.260022,18.7
0.204658,0.207907,0.255595,0.244298,0.259172,18.25
0.205529,0.208861,0.256963,0.245707,0.260781,17.08
0.2057,0.207374,0.253656,0.243023,0.257061,18.61
0.206392,0.208131,0.254742,0.244141,0.258338,18.49
0.2033,0.208217,0.254009,0.244834,0.258948,18.69
0.202144,0.206952,0.252194,0.242965,0.256813,17.38
0.203839,0.208808,0.254857,0.245707,0.259945,18.51
0.205178,0.20758,0.252946,0.244136,0.256992,18.48
0.205443,0.207871,0.253363,0.244565,0.257482,18.43
0.203099,0.205229,0.250799,0.240911,0.257332,18.5
0.206628,0.208845,0.255124,0.246154,0.260894,18.19
0.204637,0.208341,0.254729,0.245285,0.259858,17.86
0.205672,0.208286,0.254884,0.245292,0.261164,21.23
0.21024,0.212097,0.262949,0.254963,0.269685,17.28
0.205892,0.209572,0.255604,0.24756,0.261746,18
0.207826,0.212399,0.259661,0.252146,0.265142,16.55
0.205714,0.208332,0.254951,0.245361,0.261243,17.47
0.205528,0.209173,0.255032,0.24697,0.261072,18.35
0.210174,0.213725,0.263815,0.256431,0.271307,17.85
0.207797,0.210298,0.256626,0.247614,0.26119,18.25
0.207144,0.209582,0.2556,0.246557,0.259983,17.89
0.20702,0.2084,0.256046,0.246486,0.263615,17.37
0.206109,0.208817,0.254704,0.245307,0.260402,21.17
0.204903,0.208019,0.253999,0.244728,0.25884,18.4
0.205893,0.209103,0.255554,0.246329,0.260668,18.01
0.205552,0.208453,0.254145,0.245213,0.259382,19.53
0.205735,0.208741,0.25476,0.245511,0.260347,17.24
0.205415,0.208742,0.255087,0.246088,0.261405,16.8
0.208982,0.213663,0.261476,0.254015,0.267277,17.82
0.210118,0.213663,0.263726,0.256339,0.271202,18.34
0.206732,0.20967,0.256367,0.247139,0.261738,17.51
0.206711,0.210251,0.254431,0.246368,0.259189,16.42
0.205685,0.209195,0.255105,0.245829,0.261629,18.02
0.207423,0.211096,0.257835,0.24864,0.26484,20.58
0.20595,0.209485,0.255522,0.246258,0.262119,18.02
0.205652,0.209158,0.255053,0.245775,0.261568,18.6
0.2052,0.206832,0.251624,0.242491,0.256095,18.22
0.205593,0.207262,0.252241,0.243126,0.256821,18.43
0.206469,0.208221,0.253617,0.244543,0.25844,17.88
0.206597,0.208361,0.253818,0.24475,0.258676,17.75
0.204184,0.206582,0.252845,0.2432,0.257998,17.45
0.20582,0.209902,0.255824,0.245593,0.259053,17.46
0.204731,0.20871,0.254114,0.243831,0.25704,16.99
0.209387,0.211855,0.258514,0.249334,0.263126,17.35
0.206854,0.209083,0.254534,0.245236,0.258445,19.04
0.208505,0.211439,0.258468,0.249183,0.264829,17.69
0.207009,0.209802,0.256118,0.246762,0.262065,17.94
0.20435,0.207137,0.252255,0.243268,0.25716,18.14
0.206483,0.20956,0.255935,0.246721,0.261729,17.83
0.205976,0.209005,0.255139,0.245902,0.260793,19.93
0.205304,0.208392,0.254612,0.246365,0.26006,17.7
0.20635,0.209537,0.256256,0.248058,0.261994,17.69
0.207458,0.21075,0.257997,0.24985,0.264041,18.13
0.205935,0.208368,0.254347,0.245322,0.262253,15.45
0.206569,0.209062,0.255344,0.246348,0.263425,17.86
0.207374,0.209943,0.256609,0.24765,0.264912,19.53
0.207782,0.21164,0.258572,0.250616,0.265236,18.27
0.209121,0.212683,0.261818,0.251627,0.267111,22.03
0.210154,0.213105,0.263813,0.255172,0.269653,35.93
0.209069,0.213737,0.263932,0.256235,0.269938,18.2
0.208927,0.213581,0.263709,0.256005,0.269675,18.36
0.207125,0.209024,0.255882,0.246204,0.261242,17.42
0.205231,0.206951,0.252907,0.24314,0.257743,17.46
0.206148,0.209635,0.253546,0.245456,0.258147,22.6
0.207293,0.210237,0.256555,0.249861,0.26451,17.94
0.207212,0.210149,0.256428,0.249731,0.264361,18.17
0.208351,0.21149,0.260328,0.252093,0.265285,18.1
0.209538,0.213353,0.2624,0.253759,0.268341,17.36
0.209888,0.213737,0.26295,0.254326,0.268989,17.86
0.209599,0.21168,0.262274,0.253299,0.268515,14.39
0.210831,0.213028,0.264208,0.255291,0.27079,17.73
0.210902,0.213924,0.264989,0.256382,0.271036,17.75
0.207062,0.208591,0.256364,0.246559,0.261353,18
0.207284,0.208834,0.256713,0.246919,0.261764,17.73
0.205845,0.207259,0.254452,0.244591,0.259104,17.97
0.20674,0.209964,0.255999,0.246524,0.26231,17.79
0.206262,0.209759,0.253724,0.24564,0.258357,17.71
0.208799,0.212331,0.261312,0.251106,0.266516,14.24
0.210567,0.213915,0.263809,0.255677,0.26938,18.07
0.20469,0.207138,0.252943,0.243404,0.257238,17.45
0.204629,0.20707,0.252846,0.243305,0.257124,14.96
0.206089,0.208511,0.254316,0.246121,0.260521,17.17
0.209187,0.211448,0.261653,0.252507,0.268541,18.05
0.208273,0.210448,0.260217,0.251029,0.266852,16.73
0.210712,0.213116,0.264048,0.254974,0.271358,19.02
0.209341,0.212573,0.261883,0.253693,0.267114,18.16
0.204937,0.20744,0.253678,0.24426,0.258332,22.56
0.205207,0.207735,0.254102,0.244696,0.258831,17.17
0.206302,0.209537,0.255387,0.246468,0.262043,17.69
0.205417,0.207775,0.253259,0.245034,0.259279,17.64
0.207366,0.210098,0.257493,0.248189,0.26282,17.25
0.206309,0.208203,0.254089,0.244818,0.258606,18.17
0.205289,0.208428,0.253795,0.244829,0.26017,17.82
0.204683,0.207764,0.252843,0.243848,0.259051,17.77
0.203602,0.206069,0.249777,0.241089,0.255235,17.53
0.205779,0.208055,0.253471,0.243482,0.256174,18.9
0.205476,0.207724,0.252995,0.242991,0.255614,17.63
0.204155,0.207126,0.25214,0.24281,0.257402,18.8
0.203539,0.206453,0.251173,0.241814,0.256265,17.87
0.203154,0.207023,0.250331,0.242096,0.25675,17.72
0.204038,0.205964,0.249139,0.241737,0.253047,17.92
0.20412,0.20808,0.251849,0.243658,0.258535,17.6
0.204975,0.207856,0.252921,0.242627,0.257292,18.66
0.206382,0.208832,0.254777,0.246596,0.261064,18
0.204137,0.206564,0.252421,0.242965,0.256854,18.03
0.208238,0.211248,0.257733,0.249408,0.264367,15.85
0.199457,0.201494,0.243998,0.234704,0.246431,18
0.202989,0.207158,0.250103,0.242453,0.255577,17.55
0.201526,0.205557,0.247805,0.240086,0.252874,15.33
0.200953,0.20493,0.246905,0.239159,0.251815,17.55
0.205808,0.207381,0.25185,0.244524,0.257323,17.25
0.206907,0.208584,0.253576,0.246301,0.259353,17.69
0.204653,0.207503,0.252415,0.242106,0.256697,17.68
0.204843,0.207711,0.252713,0.242412,0.257047,17.38
0.205392,0.208312,0.253576,0.243301,0.258061,18.87
0.208898,0.211197,0.257456,0.24934,0.264502,18.06
0.207217,0.209357,0.254816,0.246621,0.261396,17.72
0.203923,0.206381,0.251012,0.241927,0.254682,17.93
0.204899,0.207099,0.254258,0.244086,0.259045,17.7
0.204458,0.206617,0.253567,0.243374,0.258231,18.54
0.203341,0.205394,0.251811,0.241566,0.256167,17.78
0.206667,0.209625,0.254766,0.246432,0.259735,17.72
0.205493,0.20834,0.252922,0.244532,0.257566,16.87
0.206106,0.20877,0.254441,0.245458,0.258715,18.17
0.206772,0.210116,0.258286,0.248074,0.259956,17.61
0.206478,0.210279,0.254767,0.246095,0.260961,17.85
0.205649,0.209372,0.253465,0.244755,0.25943,18.11
0.205086,0.208756,0.25258,0.243843,0.258389,17.84
0.205719,0.207424,0.254153,0.244721,0.257382,17.77
0.206713,0.208512,0.255715,0.24633,0.259219,17.01
0.206132,0.20904,0.253926,0.245566,0.258747,17.82
0.206552,0.209955,0.255328,0.245862,0.260515,15.72
0.206733,0.208587,0.255638,0.245285,0.259065,17.76
0.213987,0.217262,0.274583,0.26834,0.28589,72.22
0.213155,0.217381,0.272924,0.264806,0.2831,36.9
0.212703,0.216469,0.274544,0.265866,0.285633,68.3
0.214081,0.217463,0.274798,0.267624,0.286153,26.85
0.214084,0.218454,0.271076,0.26472,0.280566,59.42
0.212972,0.217045,0.270811,0.262891,0.28032,23.89
0.21443,0.217511,0.273558,0.263352,0.281442,22.12
0.21346,0.215972,0.272493,0.26208,0.280182,22.04
0.211339,0.215959,0.271068,0.261624,0.279272,23.01
0.21317,0.217594,0.272494,0.265943,0.283205,25.33
0.212859,0.217623,0.273455,0.264083,0.28208,25.21
0.210463,0.214446,0.269732,0.261958,0.278668,36.92
0.20962,0.213523,0.268408,0.260594,0.27711,26.85
0.213254,0.217116,0.270144,0.260815,0.27445,21.36
0.211834,0.215556,0.270527,0.262778,0.280137,21.91
0.212975,0.216805,0.27232,0.264624,0.282246,21.11
0.212173,0.215374,0.271801,0.264537,0.282627,34.74
0.210542,0.215917,0.267462,0.260186,0.275744,21.99
0.214223,0.217234,0.27507,0.266455,0.280696,21.73
0.211995,0.21588,0.271772,0.262039,0.277387,22.16
0.211609,0.21538,0.274171,0.265246,0.284071,44.61
0.212673,0.216355,0.272742,0.262977,0.279041,23.77
0.211721,0.215839,0.269581,0.26158,0.276338,25
0.212204,0.214183,0.267408,0.259313,0.274406,22.02
0.21173,0.213664,0.266664,0.258547,0.273531,23.85
0.207109,0.213902,0.268176,0.262235,0.280171,76.49
0.203168,0.205751,0.26002,0.251859,0.268275,77.76
0.210546,0.213825,0.271608,0.263793,0.281906,58.59
0.21115,0.213529,0.268357,0.258409,0.273074,23.35
0.211534,0.216388,0.274665,0.267184,0.285307,98.45
0.211773,0.217101,0.274194,0.267903,0.28613,86.95
0.211292,0.21497,0.272395,0.26538,0.282969,64.16
0.211884,0.215617,0.273324,0.266337,0.284063,57.91
0.212201,0.214119,0.266331,0.258083,0.272758,22.42
0.206109,0.21102,0.265987,0.255839,0.270389,21.93
0.207187,0.209083,0.260873,0.250495,0.264352,21.71
0.209171,0.211715,0.264584,0.253199,0.266679,22.05
0.208645,0.212491,0.26402,0.256009,0.268362,21.9
0.210246,0.212832,0.266619,0.25827,0.272285,21.7
0.209934,0.21249,0.266128,0.257764,0.271707,47.94
0.209839,0.211663,0.265538,0.256738,0.271142,26.78
0.208878,0.212662,0.265442,0.256774,0.271719,28.77
0.210595,0.21209,0.266613,0.256696,0.269373,25.02
0.210447,0.212362,0.267255,0.256356,0.269116,21.99
0.210381,0.212289,0.267151,0.256248,0.268993,21.61
0.210244,0.212927,0.266022,0.256775,0.272267,21.43
0.209789,0.213321,0.265738,0.256302,0.27071,21.17
0.211664,0.215374,0.268684,0.259335,0.274175,21.85
0.207134,0.209568,0.260946,0.250094,0.266354,21.22
0.209478,0.214861,0.268323,0.258663,0.272191,21.2
0.210173,0.211629,0.265951,0.256014,0.268594,24.27
0.209968,0.21307,0.266367,0.256977,0.271411,29.78
0.208094,0.210949,0.261565,0.252893,0.26614,23.2
0.208893,0.211833,0.262616,0.25406,0.26701,27.85
0.207379,0.210266,0.261308,0.252532,0.265804,23.73
0.207441,0.211536,0.262699,0.254156,0.266556,20.7
0.207941,0.212419,0.262697,0.255147,0.266853,26.14
0.207258,0.209549,0.261012,0.251755,0.26566,27.91
0.207304,0.210645,0.262968,0.254045,0.268222,28.62
0.20822,0.211287,0.262771,0.254396,0.266651,25.59
0.207662,0.210186,0.261976,0.251964,0.267807,26.3
0.208184,0.211405,0.262895,0.254036,0.267184,26.28
0.209125,0.212989,0.263962,0.255864,0.267079,42.31
0.208013,0.211402,0.261275,0.251287,0.267146,24.04
0.205512,0.208323,0.25771,0.247431,0.262659,26.88
0.206673,0.209557,0.259116,0.25023,0.26355,38.35
0.205977,0.208458,0.257921,0.249231,0.263006,29
0.20646,0.209123,0.258786,0.250373,0.265815,33.2
0.204865,0.207738,0.258686,0.249461,0.265295,36.14
0.208186,0.210644,0.261052,0.253621,0.267866,31.72
0.207665,0.210308,0.260773,0.251486,0.265,30.53
0.206893,0.209884,0.260117,0.251253,0.265005,25.81
0.207424,0.209957,0.260232,0.250127,0.264864,25.33
0.207364,0.209633,0.258594,0.248319,0.262122,25.69
0.209258,0.211722,0.261231,0.251115,0.266506,22.27
0.208878,0.211718,0.2602,0.251392,0.264736,21.36
0.209778,0.210696,0.260159,0.252063,0.265896,23.62
0.207991,0.210533,0.262137,0.253153,0.268026,27.57
0.207371,0.211535,0.261916,0.252688,0.266122,25.62
0.206999,0.21019,0.260982,0.251246,0.263715,28.85
0.209619,0.212386,0.271641,0.264604,0.279501,31.43
0.208667,0.211344,0.270146,0.263064,0.277742,331.32
0.206496,0.209339,0.268467,0.257902,0.274171,109.38
0.206951,0.209837,0.269181,0.258637,0.275011,206
0.207507,0.210075,0.268324,0.261187,0.275599,108.13
0.208468,0.211127,0.269834,0.262742,0.277375,237.72
0.208468,0.211127,0.269834,0.262742,0.277375,198.37
0.20827,0.210909,0.269521,0.262421,0.277007,72.03
0.207903,0.213207,0.270168,0.262275,0.279948,59.2
0.20732,0.212569,0.269253,0.261333,0.278872,50.88
0.20732,0.212569,0.269253,0.261333,0.278872,47.57
0.207884,0.210679,0.268317,0.260641,0.275941,5.53
0.206825,0.209328,0.267253,0.260084,0.274339,87.49
0.206825,0.209328,0.267253,0.260084,0.274339,885.86
0.207562,0.210327,0.267811,0.26012,0.275346,15.55
0.207029,0.209551,0.267572,0.260414,0.274715,31.06
0.209468,0.21222,0.271403,0.264359,0.279221,52.08
0.207862,0.210463,0.268882,0.261762,0.276255,641.01
0.21031,0.213142,0.272727,0.265722,0.280778,304.22
0.207266,0.20981,0.267944,0.260797,0.275152,54.75
